음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000009470,02-0000008220,180,㈜대한신호,-,2,1,001,14198,1  ,126.9091164782466,37.59623711314891
24-0000012111,02-0000008223,180,㈜대한신호,-,2,1,001,16839,1  ,126.91048861990353,37.59555134661935
24-0000015156,02-0000169688,-,㈜대한신호,-,2,1,001,19884,-,126.91855618962651,37.58914486320179
24-0000015155,02-0000169690,-,㈜대한신호,-,2,1,001,19883,-,126.91836946836267,37.589088912527075
24-0000000015,02-0000203890,180,신흥IND,-,2,1,001,1062,1  ,126.9437371264192,37.584476178150354
24-0000004343,02-0000094734,180,휴먼테크,-,2,1,001,7798,1  ,127.00254207932467,37.56566579140225
24-0000007108,02-0000167799,180,대한신호,-,2,1,001,12787,1  ,126.95662352850923,37.59683864959769
24-0000007109,02-0000167800,180,대한신호,-,2,1,001,12789,1  ,126.95640692197777,37.596911775331954
24-0000001455,02-0000144257,180,휴먼테크,-,2,1,001,11147,1  ,126.97200597698532,37.54946853765483
24-0000001456,02-0000144258,180,휴먼테크,-,2,1,001,11148,1  ,126.97180786554009,37.549516150832105
24-0000018934,02-0000025163,-,휴먼테크,-,2,1,001,23662,-,126.986926186451,37.534789113575
24-0000001241,02-0000061180,180,휴먼테크,-,2,1,001,5217,1  ,126.97063663241153,37.541944818543605
24-0000020654,02-0000222639,-,-,-,2,1,001,25382,-,,
24-0000020656,02-0000128135,-,㈜대한신호,-,2,1,001,25384,-,,
24-0000020655,02-0000128136,-,㈜대한신호,-,2,1,001,25383,-,,
24-0000019970,02-0000221025,-,태경,-,2,1,001,24698,-,,
24-0000010005,02-0000222673,180,대한신호(주),-,2,1,001,14733,1  ,126.92111795739648,37.618954867069654
24-0000001982,02-0000004724,180,신흥IND,-,2,1,001,480,1  ,126.94637090382824,37.5460587451324
24-0000009914,02-0000167675,180,대한신호(주),-,2,1,001,14642,1  ,126.92908046318267,37.61083147840003
24-0000020323,02-0000195334,-,-,-,2,1,001,25051,-,,
24-0000020322,02-0000018689,-,-,-,2,1,001,25050,-,,
24-0000020321,02-0000131345,-,-,-,2,1,001,25049,-,,
24-0000013777,02-0000131347,180,-,-,2,1,001,18505,1  ,127.04336668377543,37.46563642347304
24-0000009364,02-0000106462,180,-,-,2,1,001,14092,1  ,127.04295251901468,37.465350278387575
24-0000009365,02-0000131344,180,-,-,2,1,001,14093,1  ,127.04297036670253,37.465353310358
24-0000020575,02-0000172051,-,대한신호(주),-,2,1,001,25303,-,,
24-0000020574,02-0000172046,-,대한신호(주),-,2,1,001,25302,-,,
24-0000003449,02-0000031265,180,대한신호(주),-,2,1,001,3368,1  ,126.92850222630817,37.49981821165262
24-0000002402,02-0000108355,180,대한신호(주),-,2,1,001,9070,1  ,126.928595962739,37.49966313812257
24-0000014307,02-0000031250,180,대한신호(주),-,2,1,001,19035,1  ,126.93171391909577,37.50043525250442
24-0000011415,02-0000031592,180,대한신호(주),-,2,1,001,16143,1  ,126.93916012567205,37.50478304659912
24-0000014302,02-0000031593,180,대한신호(주),-,2,1,001,19030,1  ,126.939079395713,37.50479178979404
24-0000014303,02-0000193980,180,대한신호(주),-,2,1,001,19031,1  ,126.93896306576745,37.50494117558556
24-0000014304,02-0000179329,180,대한신호,-,2,1,001,19032,1  ,126.93932023212918,37.505389730712885
24-0000011412,02-0000031630,180,대한신호(주),-,2,1,001,16140,1  ,126.93969630173058,37.50518956226642
24-0000016005,02-0000031695,-,대한신호(주),-,2,1,001,20733,-,126.94641004000158,37.504871791440266
24-0000014300,02-0000031452,180,대한신호(주),-,2,1,001,19028,1  ,126.9460407561026,37.50477694449348
24-0000002395,02-0000031687,180,대한신호(주),-,2,1,001,3387,1  ,126.94747229097896,37.50335866013989
24-0000011346,02-0000135776,0  ,대한신호(주),-,2,1,001,16074,1  ,126.95262338049292,37.497740081523844
24-0000020538,02-0000169453,-,대한신호(주),-,2,1,001,25266,-,,
24-0000011655,02-0000181344,180,대한신호(주),-,2,1,001,16383,1  ,126.96886115798078,37.50634500787114
24-0000011344,02-0000135777,0  ,대한신호(주),-,2,1,001,16072,1  ,126.95224374264937,37.49766300524397
24-0000011656,02-0000181345,180,대한신호,-,2,1,001,16384,1  ,126.96882175550859,37.50612346952431
24-0000008991,02-0000175997,90 ,대한신호(주),0,2,1,001,13740,1  ,126.95451097647542,37.49572242328498
24-0000002175,02-0000016202,180,대한신호㈜,-,2,1,001,1778,1  ,126.96995306609952,37.485269300307785
24-0000020617,02-0000222571,-,한길에이치씨,-,2,1,001,25345,-,,
24-0000020616,02-0000018091,-,한길에이치씨,-,2,1,001,25344,-,,
24-0000020268,02-0000221339,-,대한신호,-,2,1,001,24996,-,,
24-0000020606,02-0000220625,-,한길에이치씨,-,2,1,001,25334,-,,
24-0000020267,02-0000221338,-,대한신호,-,2,1,001,24995,-,,
24-0000020266,02-0000172010,-,대한신호,-,2,1,001,24994,-,,
24-0000020602,02-0000108656,-,한길에이치씨,-,2,1,001,25330,-,,
24-0000020199,02-0000219119,-,한길에이치씨,-,2,1,001,24927,-,,
24-0000020190,02-0000221283,-,한길에이치씨,-,2,1,001,24918,-,,
24-0000020189,02-0000221282,-,한길에이치씨,-,2,1,001,24917,-,,
24-0000020188,02-0000181771,-,한길에이치씨,-,2,1,001,24916,-,,
24-0000005132,02-0000029972,180,대한신호,0,2,1,001,3281,1  ,126.9254811245786,37.499887817331945
24-0000020187,02-0000221280,-,한길에이치씨,-,2,1,001,24915,-,,
24-0000020186,02-0000221279,-,한길에이치씨,-,2,1,001,24914,-,,
24-0000020163,02-0000221249,-,한길HC,-,2,1,001,24891,-,,
24-0000020378,02-0000221487,-,대한신호,-,2,1,001,25106,-,,
24-0000020377,02-0000221486,-,대한신호,-,2,1,001,25105,-,,
24-0000020376,02-0000221485,-,대한신호,-,2,1,001,25104,-,,
24-0000020375,02-0000221484,-,대한신호,-,2,1,001,25103,-,,
24-0000015722,02-0000201158,-,㈜한길에이치씨,-,1,1,001,20450,-,126.83713261406558,37.56084746107792
24-0000021068,02-0000072254,-,-,-,2,1,001,25796,-,,
24-0000021071,02-0000072267,-,-,-,2,1,001,25799,-,,
24-0000021076,02-0000161077,-,-,-,2,1,001,25804,-,,
24-0000021077,02-0000161076,-,-,-,2,1,001,25805,-,,
24-0000021078,02-0000113700,-,-,-,2,1,001,25806,-,,
24-0000021082,02-0000067495,-,-,-,2,1,001,25810,-,,
24-0000021112,02-0000115415,-,-,-,2,1,001,25840,-,,
24-0000021113,02-0000079090,-,-,-,2,1,001,25841,-,,
24-0000021114,02-0000079092,-,-,-,2,1,001,25842,-,,
24-0000021115,02-0000102510,-,-,-,2,1,001,25843,-,,
24-0000021123,02-0000079405,-,-,-,2,1,001,25851,-,,
24-0000021124,02-0000079406,-,-,-,2,1,001,25852,-,,
24-0000021127,02-0000015682,-,-,-,2,1,001,25855,-,,
24-0000021128,02-0000015680,-,-,-,2,1,001,25856,-,,
24-0000021133,02-0000071941,-,-,-,2,1,001,25861,-,,
24-0000021137,02-0000059036,-,-,-,2,1,001,25865,-,,
24-0000021157,02-0000071237,-,-,-,2,1,001,25885,-,,
24-0000021183,02-0000067665,-,-,-,2,1,001,25911,-,,
24-0000021190,02-0000058442,-,-,-,2,1,001,25918,-,,
24-0000021193,02-0000015424,-,-,-,2,1,001,25921,-,,
24-0000021195,02-0000111266,-,-,-,2,1,001,25923,-,,
24-0000021202,02-0000059442,-,-,-,2,1,001,25930,-,,
24-0000021203,02-0000112436,-,-,-,2,1,001,25931,-,,
24-0000021209,02-0000113314,-,-,-,2,1,001,25937,-,,
24-0000021210,02-0000222875,-,-,-,2,1,001,25938,-,,
24-0000021228,02-0000135949,-,-,-,2,1,001,25956,-,,
24-0000021230,02-0000084330,-,-,-,2,1,001,25958,-,,
24-0000021231,02-0000004888,-,-,-,2,1,001,25959,-,,
24-0000021232,02-0000222877,-,-,-,2,1,001,25960,-,,
24-0000021234,02-0000078125,-,-,-,2,1,001,25962,-,,
24-0000021239,02-0000173290,-,-,-,2,1,001,25967,-,,
24-0000021241,02-0000222880,-,-,-,2,1,001,25969,-,,
24-0000021242,02-0000079243,-,-,-,2,1,001,25970,-,,
24-0000021260,02-0000222886,-,-,-,2,1,001,25988,-,,
24-0000021264,02-0000222887,-,-,-,2,1,001,25992,-,,
24-0000021272,02-0000222889,-,-,-,2,1,001,26000,-,,
24-0000021276,02-0000222890,-,-,-,2,1,001,26004,-,,
24-0000021278,02-0000079044,-,-,-,2,1,001,26006,-,,
24-0000020769,02-0000222788,-,한길에이치씨,-,2,1,001,25497,-,,
24-0000021284,02-0000052607,-,-,-,2,1,001,26012,-,,
24-0000021287,02-0000131531,-,-,-,2,1,001,26015,-,,
24-0000021288,02-0000015675,-,-,-,2,1,001,26016,-,,
24-0000021290,02-0000222891,-,-,-,2,1,001,26018,-,,
24-0000020731,02-0000222751,-,한길에이치씨,-,2,1,001,25459,-,,
24-0000020726,02-0000222748,-,한길에이치씨,-,2,1,001,25454,-,,
24-0000020724,02-0000222747,-,한길에이치씨,-,2,1,001,25452,-,,
24-0000020732,02-0000222753,-,한길에이치씨,-,2,1,001,25460,-,,
24-0000021320,02-0000124130,-,-,-,2,1,001,26048,-,,
24-0000021322,02-0000222900,-,-,-,2,1,001,26050,-,,
24-0000021323,02-0000222901,-,-,-,2,1,001,26051,-,,
24-0000021372,02-0000180314,-,-,-,2,1,001,26100,-,,
24-0000021378,02-0000009203,-,-,-,2,1,001,26106,-,,
24-0000021406,02-0000198858,-,-,-,2,1,001,26134,-,,
24-0000021415,02-0000008531,-,-,-,2,1,001,26143,-,,
24-0000021418,02-0000003687,-,-,-,2,1,001,26146,-,,
24-0000021420,02-0000014142,-,-,-,2,1,001,26148,-,,
24-0000021427,02-0000158881,-,-,-,2,1,001,26155,-,,
24-0000021430,02-0000222947,-,-,-,2,1,001,26158,-,,
24-0000021441,02-0000211939,-,-,-,2,1,001,26169,-,,
24-0000020583,02-0000113237,-,(주)한길에이치씨,-,2,1,001,25311,-,,
24-0000020579,02-0000196526,-,(주)한길에이치씨,-,2,1,001,25307,-,,
24-0000021448,02-0000002353,-,-,-,2,1,001,26176,-,,
24-0000020578,02-0000196527,-,(주)한길에이치씨,-,2,1,001,25306,-,,
24-0000020582,02-0000222549,-,(주)한길에이치씨,-,2,1,001,25310,-,,
24-0000020584,02-0000064345,-,(주)한길에이치씨,-,2,1,001,25312,-,,
24-0000020585,02-0000064707,-,(주)한길에이치씨,-,2,1,001,25313,-,,
24-0000020588,02-0000222555,-,(주)한길에이치씨,-,2,1,001,25316,-,,
24-0000020788,02-0000175687,-,-,-,2,1,001,25516,-,,
24-0000020810,02-0000062464,-,-,-,2,1,001,25538,-,,
24-0000020811,02-0000101922,-,-,-,2,1,001,25539,-,,
24-0000020818,02-0000101694,-,-,-,2,1,001,25546,-,,
24-0000020819,02-0000016853,-,-,-,2,1,001,25547,-,,
24-0000020856,02-0000220973,-,-,-,2,1,001,25584,-,,
24-0000020865,02-0000156588,-,-,-,2,1,001,25593,-,,
24-0000020868,02-0000069264,-,-,-,2,1,001,25596,-,,
24-0000020869,02-0000152449,-,-,-,2,1,001,25597,-,,
24-0000020883,02-0000181692,-,-,-,2,1,001,25611,-,,
24-0000020884,02-0000020096,-,-,-,2,1,001,25612,-,,
24-0000020900,02-0000025303,-,-,-,2,1,001,25628,-,,
24-0000020901,02-0000025320,-,-,-,2,1,001,25629,-,,
24-0000020909,02-0000069275,-,-,-,2,1,001,25637,-,,
24-0000020926,02-0000178188,-,-,-,2,1,001,25654,-,,
24-0000020927,02-0000196715,-,-,-,2,1,001,25655,-,,
24-0000020942,02-0000055518,-,-,-,2,1,001,25670,-,,
24-0000020943,02-0000055521,-,-,-,2,1,001,25671,-,,
24-0000020945,02-0000163155,-,-,-,2,1,001,25673,-,,
24-0000020961,02-0000101163,-,-,-,2,1,001,25689,-,,
24-0000020962,02-0000220407,-,-,-,2,1,001,25690,-,,
24-0000020975,02-0000156387,-,-,-,2,1,001,25703,-,,
24-0000020986,02-0000106700,-,-,-,2,1,001,25714,-,,
24-0000021402,02-0000175554,-,-,-,2,1,001,26130,-,,
24-0000021403,02-0000105434,-,-,-,2,1,001,26131,-,,
24-0000021404,02-0000011557,-,-,-,2,1,001,26132,-,,
24-0000021409,02-0000008098,-,-,-,2,1,001,26137,-,,
24-0000021410,02-0000008099,-,-,-,2,1,001,26138,-,,
24-0000021417,02-0000193882,-,-,-,2,1,001,26145,-,,
24-0000021428,02-0000158880,-,-,-,2,1,001,26156,-,,
24-0000021439,02-0000222948,-,-,-,2,1,001,26167,-,,
24-0000021442,02-0000190653,-,-,-,2,1,001,26170,-,,
24-0000020573,02-0000222545,-,(주)한길에이치씨,-,2,1,001,25301,-,,
24-0000020576,02-0000223068,-,(주)한길에이치씨,-,2,1,001,25304,-,,
24-0000020577,02-0000222546,-,(주)한길에이치씨,-,2,1,001,25305,-,,
24-0000020567,02-0000104899,-,(주)한길에이치씨,-,2,1,001,25295,-,,
24-0000020564,02-0000003681,-,(주)한길에이치씨,-,2,1,001,25292,-,,
24-0000020561,02-0000006857,-,(주)한길에이치씨,-,2,1,001,25289,-,,
24-0000020560,02-0000006858,-,(주)한길에이치씨,-,2,1,001,25288,-,,
24-0000020590,02-0000222557,-,(주)한길에이치씨,-,2,1,001,25318,-,,
24-0000020594,02-0000003452,-,(주)한길에이치씨,-,2,1,001,25322,-,,
24-0000020595,02-0000222563,-,(주)한길에이치씨,-,2,1,001,25323,-,,
24-0000020596,02-0000219641,-,(주)한길에이치씨,-,2,1,001,25324,-,,
24-0000020597,02-0000219641,-,(주)한길에이치씨,-,2,1,001,25325,-,,
24-0000020598,02-0000222564,-,(주)한길에이치씨,-,2,1,001,25326,-,,
24-0000020599,02-0000222565,-,(주)한길에이치씨,-,2,1,001,25327,-,,
24-0000020600,02-0000222566,-,(주)한길에이치씨,-,2,1,001,25328,-,,
24-0000020601,02-0000095165,-,(주)한길에이치씨,-,2,1,001,25329,-,,
24-0000020568,02-0000222542,-,(주)한길에이치씨,-,2,1,001,25296,-,,
24-0000020569,02-0000222544,-,(주)한길에이치씨,-,2,1,001,25297,-,,
24-0000020571,02-0000166835,-,(주)가온엘이디,-,2,1,001,25299,-,,
24-0000020572,02-0000166835,-,(주)한길에이치씨,-,1,1,001,25300,-,,
24-0000020162,02-0000221248,-,한길HC,-,2,1,001,24890,-,,
24-0000020077,02-0000186904,-,한길에이치씨,-,2,1,001,24805,-,,
24-0000020076,02-0000221078,-,한길에이치씨,-,2,1,001,24804,-,,
24-0000020161,02-0000021364,-,-,-,2,1,001,24889,-,,
24-0000002269,02-0000019319,180,대한신호,-,2,1,001,2303,1  ,126.93904477598889,37.470489893169685
24-0000004364,02-0000096654,180,대한신호,-,2,1,001,7963,1  ,126.93902967561742,37.47061169421439
24-0000013837,02-0000029464,180,한길HC,-,2,1,001,18565,1  ,126.90838591003956,37.49914218158503
24-0000020073,02-0000221074,-,한길에이치씨,-,2,1,001,24801,-,,
24-0000012252,02-0000135338,180,한길HC,-,2,1,001,16980,1  ,126.91132532725774,37.450531176740256
24-0000012257,02-0000033965,180,한길HC,-,2,1,001,16985,1  ,126.90994519184135,37.450581614032416
24-0000012256,02-0000098255,180,한길HC,-,2,1,001,16984,1  ,126.90991043983684,37.45069928241989
24-0000020072,02-0000221073,-,한길에이치씨,-,2,1,001,24800,-,,
24-0000009277,02-0000177075,180,한길HC,-,2,1,001,14005,1  ,126.90331472564878,37.44258357393205
24-0000020245,02-0000221328,-,대한신호(주),-,2,1,001,24973,-,,
24-0000020244,02-0000221327,-,대한신호(주),-,2,1,001,24972,-,,
24-0000020243,02-0000221326,-,대한신호(주),-,2,1,001,24971,-,,
24-0000020242,02-0000221325,-,대한신호(주),-,2,1,001,24970,-,,
24-0000020241,02-0000221324,-,대한신호(주),-,2,1,001,24969,-,,
24-0000020240,02-0000041400,-,대한신호(주),-,2,1,001,24968,-,,
24-0000020565,02-0000083451,-,(주)한길에이치씨,-,2,1,001,25293,-,,
24-0000012623,02-0000174294,180,대한신호,-,2,1,001,17351,1  ,127.13539410650439,37.54271419889381
24-0000010739,02-0000047568,180,대한신호,-,2,1,001,15467,1  ,127.15169195933491,37.55865769112079
24-0000015252,02-0000016732,-,대한신호,-,2,1,001,19980,-,127.11507445428228,37.51463670320651
24-0000019750,02-0000199029,-,대한신호,-,2,1,001,24478,-,127.15106051659615,37.562098091256715
24-0000019749,02-0000199030,-,대한신호,-,2,1,001,24477,-,127.15083339547141,37.56207473049227
24-0000000647,02-0000016159,180,대한신호,0,2,1,001,1726,1  ,127.12600893631978,37.49166106473675
24-0000016125,02-0000202762,-,대한신호,-,2,1,001,20853,-,127.13613986836489,37.564032302062735
24-0000016124,02-0000202761,-,대한신호,-,2,1,001,20852,-,127.13620866290859,37.56404774916583
24-0000004103,02-0000090847,180,대한신호(주),-,2,1,001,7547,1  ,126.85692119452011,37.56331148220798
24-0000000690,02-0000025148,180,대한신호(주),-,2,1,001,2816,1  ,126.92789782066697,37.52019733690144
24-0000004370,02-0000097264,180,대한신호(주),-,2,1,001,8003,1  ,126.92784680767143,37.52031049423096
24-0000001233,02-0000112580,180,대한신호(주),-,2,1,001,9348,1  ,126.90132410372549,37.52641208913125
24-0000014527,02-0000197085,180,대한신호(주),-,2,1,001,19255,1  ,126.84551260000583,37.530464526200724
24-0000003622,02-0000066805,180,대한신호(주),-,2,1,001,5586,1  ,126.81250683858488,37.57625172066973
24-0000002863,02-0000066804,180,대한신호(주),-,2,1,001,5584,1  ,126.81240157764448,37.576327553199036
24-0000020813,02-0000062472,-,-,-,2,1,001,25541,-,,
24-0000020833,02-0000097524,-,-,-,2,1,001,25561,-,,
24-0000020834,02-0000027525,-,-,-,2,1,001,25562,-,,
24-0000021159,02-0000071774,-,-,-,2,1,001,25887,-,,
24-0000021161,02-0000222866,-,-,-,2,1,001,25889,-,,
24-0000021164,02-0000179351,-,-,-,2,1,001,25892,-,,
24-0000021167,02-0000181736,-,-,-,2,1,001,25895,-,,
24-0000021169,02-0000122916,-,-,-,2,1,001,25897,-,,
24-0000021170,02-0000160406,-,-,-,2,1,001,25898,-,,
24-0000021171,02-0000050352,-,-,-,2,1,001,25899,-,,
24-0000021173,02-0000078342,-,-,-,2,1,001,25901,-,,
24-0000021175,02-0000198731,-,-,-,2,1,001,25903,-,,
24-0000021178,02-0000219697,-,-,-,2,1,001,25906,-,,
24-0000021179,02-0000222868,-,-,-,2,1,001,25907,-,,
24-0000021180,02-0000205060,-,-,-,2,1,001,25908,-,,
24-0000021182,02-0000067661,-,-,-,2,1,001,25910,-,,
24-0000021189,02-0000079804,-,-,-,2,1,001,25917,-,,
24-0000021192,02-0000106009,-,-,-,2,1,001,25920,-,,
24-0000021194,02-0000050823,-,-,-,2,1,001,25922,-,,
24-0000021200,02-0000178029,-,-,-,2,1,001,25928,-,,
24-0000021211,02-0000222876,-,-,-,2,1,001,25939,-,,
24-0000021212,02-0000053351,-,-,-,2,1,001,25940,-,,
24-0000021217,02-0000171271,-,-,-,2,1,001,25945,-,,
24-0000021223,02-0000100334,-,-,-,2,1,001,25951,-,,
24-0000021224,02-0000151136,-,-,-,2,1,001,25952,-,,
24-0000021226,02-0000195007,-,-,-,2,1,001,25954,-,,
24-0000021236,02-0000156363,-,-,-,2,1,001,25964,-,,
24-0000021237,02-0000175224,-,-,-,2,1,001,25965,-,,
24-0000021238,02-0000173289,-,-,-,2,1,001,25966,-,,
24-0000021247,02-0000173493,-,-,-,2,1,001,25975,-,,
24-0000021251,02-0000169500,-,-,-,2,1,001,25979,-,,
24-0000021256,02-0000115531,-,-,-,2,1,001,25984,-,,
24-0000021257,02-0000079708,-,-,-,2,1,001,25985,-,,
24-0000021258,02-0000081896,-,-,-,2,1,001,25986,-,,
24-0000021259,02-0000081895,-,-,-,2,1,001,25987,-,,
24-0000021262,02-0000219704,-,-,-,2,1,001,25990,-,,
24-0000021263,02-0000219703,-,-,-,2,1,001,25991,-,,
24-0000021265,02-0000199717,-,-,-,2,1,001,25993,-,,
24-0000021267,02-0000079207,-,-,-,2,1,001,25995,-,,
24-0000021268,02-0000163023,-,-,-,2,1,001,25996,-,,
24-0000021277,02-0000200328,-,-,-,2,1,001,26005,-,,
24-0000020773,02-0000222792,-,한길에이치씨,-,2,1,001,25501,-,,
24-0000020772,02-0000222791,-,한길에이치씨,-,2,1,001,25500,-,,
24-0000020771,02-0000222790,-,한길에이치씨,-,2,1,001,25499,-,,
24-0000020770,02-0000222789,-,한길에이치씨,-,2,1,001,25498,-,,
24-0000020762,02-0000222779,-,한길에이치씨,-,2,1,001,25490,-,,
24-0000020761,02-0000222781,-,한길에이치씨,-,2,1,001,25489,-,,
24-0000020760,02-0000222780,-,한길에이치씨,-,2,1,001,25488,-,,
24-0000020759,02-0000222778,-,한길에이치씨,-,2,1,001,25487,-,,
24-0000020758,02-0000222776,-,한길에이치씨,-,2,1,001,25486,-,,
24-0000020757,02-0000222777,-,한길에이치씨,-,2,1,001,25485,-,,
24-0000020756,02-0000222775,-,한길에이치씨,-,2,1,001,25484,-,,
24-0000020745,02-0000222763,-,한길에이치씨,-,2,1,001,25473,-,,
24-0000020744,02-0000222763,-,한길에이치씨,-,2,1,001,25472,-,,
24-0000020753,02-0000222771,-,한길에이치씨,-,2,1,001,25481,-,,
24-0000020752,02-0000222771,-,한길에이치씨,-,2,1,001,25480,-,,
24-0000000642,02-0000022200,180,대한신호,-,2,1,001,2543,1  ,127.12633430809971,37.49135489963109
24-0000000643,02-0000016157,180,대한신호,-,2,1,001,1723,1  ,127.12656398868944,37.49140131932618
24-0000020500,02-0000087911,-,대한신호,-,2,1,001,25228,-,,
24-0000019744,02-0000044864,-,대한신호,-,2,1,001,24472,-,127.13283768095054,37.49722658673331
24-0000019743,02-0000045851,-,대한신호,-,2,1,001,24471,-,127.13257561412077,37.49731135042817
24-0000021575,02-0000223076,-,에스케이이테크놀로지,-,2,1,001,26303,-,,
24-0000005179,02-0000019667,180,양광시스템,-,2,1,001,2340,1  ,126.94367460083984,37.48207652200525
24-0000008930,02-0000156369,270,양광시스템,0,2,1,001,11477,1  ,126.90748231126281,37.505782602161
24-0000004302,02-0000032677,180,양광시스템,-,2,1,001,3434,1  ,126.89986184716736,37.50210796058386
24-0000000992,02-0000026948,180,양광시스템,-,2,1,001,3020,1  ,126.89616758883484,37.498962555724745
24-0000000097,02-0000018918,315,양광시스템,0,2,1,001,2268,1  ,127.03124008291493,37.471442537637586
24-0000013802,02-0000030489,180,양광시스템,-,2,1,001,18530,1  ,126.90549205793666,37.5087050568662
24-0000013804,02-0000160946,180,양광시스템,-,2,1,001,18532,1  ,126.90568293628529,37.50869113123485
24-0000011963,02-0000031900,180,대한신호,-,1,1,001,16691,1  ,127.00371033848889,37.50203114435824
24-0000011961,02-0000031914,180,대한신호,-,1,1,001,16689,1  ,127.00357707433845,37.50177494128627
24-0000020470,02-0000022121,-,양광시스템,-,2,1,001,25198,-,,
24-0000020469,02-0000096943,-,양광시스템,-,2,1,001,25197,-,,
24-0000020468,02-0000016975,-,양광시스템,-,2,1,001,25196,-,,
24-0000020467,02-0000016976,-,양광시스템,-,2,1,001,25195,-,,
24-0000020465,02-0000144836,-,양광시스템,-,2,1,001,25193,-,,
24-0000008933,02-0000022433,180,양광시스템,0,2,1,001,2553,1  ,126.90324872647277,37.4538538885016
24-0000010401,02-0000124184,180,양광시스템,-,2,1,001,15129,1  ,126.95918074040183,37.48635752120987
24-0000010365,02-0000020482,180,양광시스템,-,2,1,001,15093,1  ,126.92928205417256,37.48621910140341
24-0000007236,02-0000031895,180,한길에이치씨,0,2,1,001,3392,1  ,127.0036380690585,37.50219322496234
24-0000020742,02-0000222762,-,한길에이치씨,-,2,1,001,25470,-,,
24-0000020755,02-0000222774,-,한길에이치씨,-,2,1,001,25483,-,,
24-0000020750,02-0000222768,-,한길에이치씨,-,2,1,001,25478,-,,
24-0000020749,02-0000222769,-,한길에이치씨,-,2,1,001,25477,-,,
24-0000020727,02-0000222749,-,한길에이치씨,-,2,1,001,25455,-,,
24-0000020723,02-0000156362,-,한길에이치씨,-,2,1,001,25451,-,,
24-0000020720,02-0000156361,-,한길에이치씨,-,2,1,001,25448,-,,
24-0000021312,02-0000222896,-,-,-,2,1,001,26040,-,,
24-0000021314,02-0000069808,-,-,-,2,1,001,26042,-,,
24-0000021318,02-0000222898,-,-,-,2,1,001,26046,-,,
24-0000021321,02-0000124129,-,-,-,2,1,001,26049,-,,
24-0000021483,02-0000178202,-,대한신호,-,2,1,001,26211,-,,
24-0000021482,02-0000223011,-,대한신호,-,2,1,001,26210,-,,
24-0000021487,02-0000223015,-,대한신호,-,2,1,001,26215,-,,
24-0000021486,02-0000223014,-,대한신호,-,2,1,001,26214,-,,
24-0000020281,02-0000221398,-,대한신호,-,2,1,001,25009,-,,
24-0000020280,02-0000221397,-,대한신호,-,2,1,001,25008,-,,
24-0000021523,02-0000181519,-,대한신호,-,1,1,001,26251,-,,
24-0000010444,02-0000164716,180,태경엔지니어링,-,2,1,001,15172,1  ,127.00780765117406,37.589147081577956
24-0000006692,02-0000164715,180,태경엔지니어링,0,2,1,001,12487,1  ,127.00780414935048,37.58932364312765
24-0000021336,02-0000163257,-,대한신호,-,2,1,001,26064,-,,
24-0000021329,02-0000222931,-,대한신호,-,2,1,001,26057,-,,
24-0000021328,02-0000148828,-,대한신호,-,2,1,001,26056,-,,
24-0000021327,02-0000222930,-,대한신호,-,2,1,001,26055,-,,
24-0000021326,02-0000174434,-,대한신호,-,2,1,001,26054,-,,
24-0000021325,02-0000222929,-,대한신호,-,2,1,001,26053,-,,
24-0000021324,02-0000222928,-,대한신호,-,2,1,001,26052,-,,
24-0000018500,02-0000047447,-,㈜신흥트레픽,-,2,1,001,23228,-,127.14976477489832,37.551521853698056
24-0000018501,02-0000218881,-,㈜신흥트레픽,-,2,1,001,23229,-,127.14970183822867,37.551694346461815
24-0000021333,02-0000179151,-,대한신호,-,2,1,001,26061,-,,
24-0000021332,02-0000143906,-,태영산업,-,2,1,001,26060,-,,
24-0000021331,02-0000143904,-,대한신호,-,2,1,001,26059,-,,
24-0000020777,02-0000150785,-,-,-,2,1,001,25505,-,,
24-0000020782,02-0000175689,-,-,-,2,1,001,25510,-,,
24-0000020841,02-0000063101,-,-,-,2,1,001,25569,-,,
24-0000020850,02-0000173293,-,-,-,2,1,001,25578,-,,
24-0000020851,02-0000148387,-,-,-,2,1,001,25579,-,,
24-0000020852,02-0000178739,-,-,-,2,1,001,25580,-,,
24-0000020859,02-0000220970,-,-,-,2,1,001,25587,-,,
24-0000020861,02-0000220968,-,-,-,2,1,001,25589,-,,
24-0000020872,02-0000159495,-,-,-,2,1,001,25600,-,,
24-0000020874,02-0000178670,-,-,-,2,1,001,25602,-,,
24-0000020875,02-0000178669,-,-,-,2,1,001,25603,-,,
24-0000020903,02-0000025324,-,-,-,2,1,001,25631,-,,
24-0000020912,02-0000065638,-,-,-,2,1,001,25640,-,,
24-0000020922,02-0000067121,-,-,-,2,1,001,25650,-,,
24-0000020934,02-0000181701,-,-,-,2,1,001,25662,-,,
24-0000020936,02-0000180505,-,-,-,2,1,001,25664,-,,
24-0000020949,02-0000154083,-,-,-,2,1,001,25677,-,,
24-0000020960,02-0000062511,-,-,-,2,1,001,25688,-,,
24-0000020988,02-0000124529,-,-,-,2,1,001,25716,-,,
24-0000020992,02-0000163099,-,-,-,2,1,001,25720,-,,
24-0000020997,02-0000107868,-,-,-,2,1,001,25725,-,,
24-0000021079,02-0000067514,-,-,-,2,1,001,25807,-,,
24-0000021089,02-0000064816,-,-,-,2,1,001,25817,-,,
