음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000006066,02-0000026449,180,대한신호㈜,0,2,1,001,2969,1  ,126.90150456580733,37.46653827943604
24-0000002364,02-0000097075,180,대한신호㈜,-,2,1,001,7986,1  ,126.90370056960202,37.47615007595829
24-0000004385,02-0000023409,180,대한신호㈜,-,2,1,001,2627,1  ,126.9037907201814,37.476307361430074
24-0000002376,02-0000023553,180,대한신호㈜,-,2,1,001,2662,1  ,126.90097117309504,37.45421922105457
24-0000000115,02-0000023547,180,대한신호㈜,-,2,1,001,2660,1  ,126.90058502729404,37.45403531550662
24-0000006581,02-0000023353,180,대한신호㈜,0,2,1,001,2621,1  ,126.92102111647726,37.45253882192006
24-0000015976,02-0000201867,-,대한신호㈜,-,2,1,001,20704,-,126.9206299932497,37.45244718169241
24-0000015975,02-0000201866,-,대한신호㈜,-,2,1,001,20703,-,126.92074300671452,37.452589117052284
24-0000006582,02-0000023351,180,대한신호㈜,0,2,1,001,2620,1  ,126.92079167461111,37.45266907795241
24-0000002344,02-0000107130,180,대한신호,-,2,1,001,8944,1  ,126.89856716446835,37.47135197020074
24-0000006642,02-0000163218,180,㈜한길에이치씨,0,2,1,001,12435,1  ,126.83662744575422,37.52248043582496
24-0000006643,02-0000163220,180,㈜한길에이치씨,0,2,1,001,12436,1  ,126.83698723918297,37.52250185697581
24-0000015484,02-0000200707,-,대한신호,-,2,1,001,20212,-,126.87172828074144,37.496848765737155
24-0000015483,02-0000200706,-,대한신호,-,2,1,001,20211,-,126.8716874301756,37.496765378317555
24-0000015482,02-0000200705,-,대한신호,-,2,1,001,20210,-,126.87175012641579,37.49607386131364
24-0000016106,02-0000202680,-,대한신호,-,2,1,001,20834,-,126.89527346295732,37.58210504379184
24-0000016285,02-0000160847,-,대한신호,-,2,1,001,21013,-,127.11374514393273,37.49738127193544
24-0000005591,02-0000093966,180,대한신호,0,2,1,001,7764,1  ,127.03428874207002,37.61666164497048
24-0000016284,02-0000178443,-,대한신호,-,2,1,001,21012,-,127.11389351199061,37.49743256537037
24-0000016283,02-0000178444,-,대한신호,-,2,1,001,21011,-,127.11441067961171,37.497722717417965
24-0000015408,02-0000200159,-,(주)한길HC,-,2,1,001,20136,-,127.12083205776511,37.48371143098169
24-0000012565,02-0000163224,0  ,㈜한길에이치씨,-,2,1,001,17293,1  ,126.83248122825873,37.52942167633885
24-0000015418,02-0000200195,-,㈜한길에이치씨,-,2,1,001,20146,-,126.87158033495923,37.51473484830387
24-0000013598,02-0000180341,180,대한신호,-,2,1,001,18326,1  ,127.03580750138795,37.61832064924312
24-0000013680,02-0000159796,180,대한신호,-,2,1,001,18408,1  ,127.02411244946933,37.57525622219062
24-0000011882,02-0000103096,180,(주)신흥트래픽,-,2,1,001,16610,1  ,127.05843946475774,37.65074334920962
24-0000003260,02-0000087903,180,(주)신흥트래픽,-,2,1,001,7293,1  ,127.05145615610172,37.652581604690134
24-0000011895,02-0000086431,180,(주)신흥트래픽,-,2,1,001,16623,1  ,127.05680851201598,37.64565724643753
24-0000003506,02-0000087335,180,(주)신흥트래픽,-,2,1,001,7254,1  ,127.03622281060065,37.66493224769282
24-0000003111,02-0000116626,180,(주)신흥트래픽,0,2,1,001,9640,1  ,127.03607266674246,37.66499592547653
24-0000003112,02-0000087333,180,(주)신흥트래픽,-,2,1,001,7253,1  ,127.03603793888566,37.66499224747122
24-0000007047,02-0000167347,180,대한신호,0,2,1,001,12731,1  ,126.92660644423633,37.558838117972975
24-0000012124,02-0000083351,180,한길에이치씨,-,2,1,001,16852,1  ,127.05516759535982,37.62896068421389
24-0000006194,02-0000161185,180,대한신호,0,2,1,001,12151,1  ,126.91972494477697,37.553795150344094
24-0000010309,02-0000160949,180,(주)신흥트래픽,-,2,1,001,15037,1  ,127.04877172409235,37.67724325686282
24-0000011503,02-0000180715,180,㈜한길에이치씨,-,2,1,001,16231,1  ,127.07534464128669,37.61741739046974
24-0000004751,02-0000086854,0  ,(주)신흥트래픽,-,2,1,001,7204,1  ,127.06191085480161,37.64898859619974
24-0000003619,02-0000129847,180,(주)신흥트래픽,-,2,1,001,10382,1  ,127.0395400996298,37.656457305984326
24-0000009400,02-0000177284,180,대한신호,-,2,1,001,14128,1  ,126.91801407780596,37.594044879087704
24-0000007474,02-0000169687,135,대한신호(주),0,2,1,001,13033,1  ,126.91716999969823,37.59027485669437
24-0000010022,02-0000158419,180,휴먼케어,-,2,1,001,14750,1  ,126.90453606702461,37.56749645096497
24-0000011449,02-0000159640,180,휴먼케어,-,2,1,001,16177,1  ,126.88760861823141,37.582332840484405
